Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/incidents/analyse,9593,0,15,16.41141778870406,7.934334000310628,90.40779199949611,1193.4262483060566,32.01290197349641,0.0,15,17,18,20,24,29,37,46,75,90,90
,Aggregated,9593,0,15,16.41141778870406,7.934334000310628,90.40779199949611,1193.4262483060566,32.01290197349641,0.0,15,17,18,20,24,29,37,46,75,90,90
