Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/incidents/analyse,9419,0,27,32.7289983839043,12.851290999606135,683.1297090002408,1195.9987259794034,15.395880281754003,0.0,27,32,36,39,49,62,79,100,520,680,680
,Aggregated,9419,0,27,32.7289983839043,12.851290999606135,683.1297090002408,1195.9987259794034,15.395880281754003,0.0,27,32,36,39,49,62,79,100,520,680,680
