Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785953660,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785953661,4,,Aggregated,0.000000,0.000000,95,95,96,96,100,100,100,100,100,100,100,6,0,95,76.60922966670114,31.56758400018589,101.16908399959357,1185.5
1785953662,8,,Aggregated,0.000000,0.000000,74,84,86,88,95,96,100,100,100,100,100,21,0,74,61.22402795223198,22.163999999975204,101.16908399959357,1192.8095238095239
1785953663,12,,Aggregated,4.000000,0.000000,34,64,74,82,88,95,100,100,100,100,100,43,0,34,46.939363441747126,15.96829199934291,101.16908399959357,1194.5116279069769
1785953664,16,,Aggregated,6.500000,0.000000,35,50,66,75,84,95,96,100,100,100,100,71,0,35,46.4204290562943,15.96829199934291,101.16908399959357,1196.5774647887324
1785953665,20,,Aggregated,9.333333,0.000000,35,48,52,65,84,86,95,96,100,100,100,109,0,35,42.738728256854884,15.96829199934291,101.16908399959357,1191.7706422018348
1785953666,20,,Aggregated,13.000000,0.000000,32,43,48,52,75,84,95,96,100,100,100,145,0,32,39.03016498619575,15.96829199934291,101.16908399959357,1192.1172413793104
1785953667,20,,Aggregated,15.600000,0.000000,30,41,45,48,66,84,95,96,100,100,100,174,0,29,36.54985372985062,15.96829199934291,101.16908399959357,1191.16091954023
1785953668,20,,Aggregated,18.833333,0.000000,28,37,43,46,65,84,88,95,100,100,100,203,0,28,35.25483028076939,15.96829199934291,101.16908399959357,1193.4581280788177
1785953669,20,,Aggregated,21.142857,0.000000,27,35,43,45,64,83,88,95,100,100,100,237,0,27,34.14457774260306,15.96829199934291,101.16908399959357,1192.5443037974683
1785953670,20,,Aggregated,22.125000,0.000000,28,35,43,46,65,83,86,95,100,100,100,269,0,28,34.73513665426338,15.96829199934291,101.16908399959357,1193.278810408922
1785953671,20,,Aggregated,22.888889,0.000000,28,35,43,46,64,82,86,95,100,100,100,300,0,28,34.289150309975106,15.96829199934291,101.16908399959357,1193.89
1785953672,20,,Aggregated,23.700000,0.000000,28,36,43,46,65,82,86,95,100,100,100,334,0,27,34.5662557634585,15.914667000288318,101.16908399959357,1193.7694610778442
1785953673,20,,Aggregated,26.900000,0.000000,28,37,44,48,65,80,85,95,100,100,100,368,0,28,35.26217959782353,15.914667000288318,101.16908399959357,1193.608695652174
1785953674,20,,Aggregated,29.400000,0.000000,28,37,43,47,64,77,85,95,100,100,100,396,0,28,34.67995331059894,15.914667000288318,101.16908399959357,1193.800505050505
1785953675,20,,Aggregated,30.700000,0.000000,29,38,44,49,66,84,94,100,110,110,110,429,0,29,35.9533199487101,15.914667000288318,111.87429100027657,1193.7016317016316
1785953676,20,,Aggregated,31.900000,0.000000,28,37,43,48,65,83,94,100,110,110,110,460,0,28,35.40445753477916,15.914667000288318,111.87429100027657,1194.4304347826087
