Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/incidents/analyse,9700,0,13,14.129846081442953,8.581499999991138,140.9531250001237,1193.739587628866,32.35425333409856,0.0,13,14,15,16,18,21,28,41,93,140,140
,Aggregated,9700,0,13,14.129846081442953,8.581499999991138,140.9531250001237,1193.739587628866,32.35425333409856,0.0,13,14,15,16,18,21,28,41,93,140,140
